,Frames,Angles
0,0,318.1901344
1,1,307.7786312
2,2,300.9462974
3,3,283.3725212
4,4,268.0878419
5,5,257.6562989
6,6,242.2369282
7,7,227.8646256
8,8,214.0058713
9,9,196.7927837
10,10,183.3718991
11,11,164.047081
12,12,156.7339155
13,13,146.8557134
14,14,145.0353314
15,15,132.2420319
16,16,133.0514093
17,17,128.6665371
18,18,134.645876
19,19,137.3433089
20,20,132.1909694
21,21,136.5926985
22,22,137.3367793
23,23,140.8922479
24,24,149.553037
25,25,157.9935663
26,26,167.8591188
27,27,182.2393991
28,28,194.7686981
29,29,211.47127
30,30,226.8114924
31,31,235.7436586
32,32,257.7602543
33,33,272.0176595
34,34,284.9843365
35,35,302.918856
36,36,317.7323205
37,37,324.7356687
38,38,330.8954338
39,39,329.4120396
40,0,325.4454892
41,0.579710145,325.5707686
42,1.15942029,324.9374051
43,1.739130435,323.0288044
44,2.31884058,320.1101279
45,2.898550725,315.4572801
46,3.47826087,309.5960353
47,4.057971014,306.7359892
48,4.637681159,300.2223246
49,5.217391304,289.597296
50,5.797101449,274.9589985
51,6.376811594,275.1970443
52,6.956521739,267.5287226
53,7.536231884,260.2066368
54,8.115942029,258.0180257
55,8.695652174,249.3629739
56,9.275362319,237.6043388
57,9.855072464,228.1283256
58,10.43478261,221.7762496
59,11.01449275,212.8194947
60,11.5942029,206.2225975
61,12.17391304,205.5607248
62,12.75362319,198.5705453
63,13.33333333,190.6327727
64,13.91304348,181.6838588
65,14.49275362,175.7663742
66,15.07246377,171.7595666
67,15.65217391,168.3122336
68,16.23188406,171.1783175
69,16.8115942,165.5134406
70,17.39130435,160.2438677
71,17.97101449,161.4923716
72,18.55072464,177.270819
73,19.13043478,168.7570155
74,19.71014493,166.5358653
75,20.28985507,164.0461247
76,20.86956522,156.1767359
77,21.44927536,154.783432
78,22.02898551,148.8429979
79,22.60869565,146.3173852
80,23.1884058,144.1735254
81,23.76811594,143.6554146
82,24.34782609,141.8709594
83,24.92753623,150.8216491
84,25.50724638,149.9330415
85,26.08695652,148.1697052
86,26.66666667,150.4483656
87,27.24637681,151.7855254
88,27.82608696,145.7181044
89,28.4057971,143.5021451
90,28.98550725,138.6350616
91,29.56521739,141.8374095
92,30.14492754,145.6679162
93,30.72463768,151.5762484
94,31.30434783,158.3308956
95,31.88405797,163.9850902
96,32.46376812,181.9359475
97,33.04347826,192.5075776
98,33.62318841,206.3773696
99,34.20289855,217.0176842
100,34.7826087,230.4385687
101,35.36231884,237.7680994
102,35.94202899,254.0348233
103,36.52173913,261.2571336
104,37.10144928,272.3480631
105,37.68115942,282.3195246
106,38.26086957,289.3493328
107,38.84057971,304.5627596
108,39.42028986,309.4970931
109,0,322.8437472
110,0.833333333,322.3510174
111,1.666666667,315.3773806
112,2.5,307.2589221
113,3.333333333,290.5689314
114,4.166666667,281.1153212
115,5,276.2776075
116,5.833333333,266.3737376
117,6.666666667,254.8643088
118,7.5,241.0465629
119,8.333333333,226.4065715
120,9.166666667,218.6300459
121,10,210.9247729
122,10.83333333,200.1996547
123,11.66666667,183.4383432
124,12.5,174.025277
125,13.33333333,156.7547885
126,14.16666667,145.9495112
127,15,142.4281116
128,15.83333333,140.0925694
129,16.66666667,134.9247389
130,17.5,133.6444336
131,18.33333333,134.871846
132,19.16666667,134.6797264
133,20,137.3602205
134,20.83333333,137.4042615
135,21.66666667,139.2554614
136,22.5,137.2171417
137,23.33333333,140.6511695
138,24.16666667,137.7807416
139,25,136.7919487
140,25.83333333,141.9160113
141,26.66666667,145.1982724
142,27.5,153.3932973
143,28.33333333,156.3009907
144,29.16666667,170.3831196
145,30,181.7792902
146,30.83333333,194.1095302
147,31.66666667,204.9200531
148,32.5,217.2566588
149,33.33333333,233.1249914
