,Frames,Angles
0,0.0,318.31068728848555
1,1.0,307.28068309972366
2,2.0,300.4478574766913
3,3.0,283.0165726770368
4,4.0,269.34952807238136
5,5.0,257.7686964478146
6,6.0,242.16406377940996
7,7.0,227.89626305611685
8,8.0,213.7687270976192
9,9.0,196.72155847650785
10,10.0,183.28914453022065
11,11.0,161.80656034512975
12,12.0,157.30765134262577
13,13.0,148.84840741405162
14,14.0,146.35929523520224
15,15.0,131.2734290946384
16,16.0,131.8016486042905
17,17.0,128.37726496201287
18,18.0,135.38279874839822
19,19.0,137.82674971645548
20,20.0,133.506518462639
21,21.0,137.93737146025302
22,22.0,137.94477538531328
23,23.0,140.384846805922
24,24.0,149.8065190300643
25,25.0,158.5723838108587
26,26.0,167.77636424577435
27,27.0,182.19287184767694
28,28.0,193.75004369695876
29,29.0,211.53282369168048
30,30.0,228.52067895003944
31,31.0,236.32818622801096
32,32.0,257.8066722995999
33,33.0,269.82367980456365
34,34.0,283.6056491721937
35,35.0,301.816914254307
36,36.0,317.5053396834494
37,37.0,325.0997040781815
38,38.0,330.9427123470739
39,39.0,325.8926617200633
